idx,0.05,0.10,0.15,0.20,0.25,0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95,1.00,1.05,1.10,1.15,1.20,1.25,1.30,1.35,1.40,1.45,1.50,1.55,1.60,1.65,1.70,1.75,1.80,1.85,1.90,1.95,2.00
10,5.116,5.116,7.2344,7.2344,7.2282,7.1596,7.0688,7.3387,7.2018,7.1079,6.5706,6.6958,6.7128,6.6957,6.7479,6.7607,6.8054,6.8732,6.8922,6.867,6.888,6.9239,6.8481,6.8078,6.8544,6.8513,6.7716,6.7352,6.7621,6.6259,6.5198,6.8865,7.0699,6.9925,7.0834,6.9686,6.9164,6.8146,6.9004,6.968
11,5.9509,5.9509,7.0404,7.0404,7.0488,7.0314,6.9499,6.8512,6.9016,6.8667,7.1892,7.3014,7.2071,7.2994,7.349,7.087,6.9156,7.0809,6.9434,6.9705,7.0322,6.8986,6.8597,6.997,6.8049,6.8295,6.6946,6.7582,6.6512,6.616,6.7114,6.494,6.6838,6.7285,6.6131,6.6707,6.7363,6.6898,6.7286,6.6485
12,1.4308,1.4308,1.3945,1.3945,1.3945,1.4224,1.4417,1.3975,1.2547,1.2654,1.1672,1.2035,1.2546,1.1484,1.1286,1.0987,1.067,1.0552,1.1165,0.9994,1.0167,1.0009,0.9941,1.0405,0.8571,0.7957,0.8869,0.9385,1.08,0.9908,1.019,0.9894,0.9776,0.9089,0.8961,0.9005,1.0363,0.9884,1.052,1.0274
13,7.128,7.128,8.4418,8.4416,8.4418,8.4391,8.3753,8.282,8.4035,8.4655,8.4677,8.4412,8.6608,8.6631,8.652,8.3859,7.9101,7.878,7.8704,7.8672,7.9714,8.0109,8.0936,8.1381,8.1528,8.1712,8.1489,8.2272,8.291,8.3115,8.3703,8.3883,8.3891,8.3374,8.3744,8.3682,8.3658,8.3563,8.2962,8.1955
14,10.9604,10.9604,6.8132,6.8132,6.8136,6.8694,7.7128,9.9469,9.8543,8.7022,10.692,10.5836,9.9979,9.8546,9.4778,9.5494,9.858,9.6534,9.5013,9.3307,9.3895,9.1437,9.0689,9.0999,9.1378,9.0567,9.2054,9.7022,9.454,9.8339,9.7134,9.7494,10.1122,10.0614,10.0785,10.0415,10.1232,10.0886,9.7378,9.6024
15,1.2516,1.2516,1.4649,1.4649,1.4659,1.4797,1.497,1.4652,1.4675,1.3802,1.1796,1.4173,1.4673,1.4707,1.4863,1.5256,1.6084,1.55,1.4408,1.5247,1.4981,1.5209,1.5847,1.4907,1.5497,1.4065,1.3921,1.4547,1.5335,1.569,0.8644,0.9137,0.9839,1.3554,0.8976,0.9654,0.9639,0.9115,0.8206,1.244
16,2.8691,2.8691,3.1917,3.1917,3.1984,3.2051,3.3111,3.3169,3.3731,3.3423,3.1716,3.2528,3.2655,3.2488,2.9834,3.213,2.9118,2.7651,2.6523,2.5897,2.557,2.7553,2.7493,2.7847,2.6232,2.8983,2.8704,2.9115,2.9919,3.096,3.041,2.9274,2.9401,3.004,2.8779,2.7481,2.9575,2.9631,3.3097,3.2379
17,4.2275,4.2275,9.7594,9.7594,9.7661,9.8151,9.8326,10.1969,10.2304,10.369,10.7065,10.5448,10.6867,10.2327,9.8399,9.8712,9.5949,8.2571,8.0037,8.0107,12.0315,12.3244,12.0699,12.0357,12.0417,12.2064,12.675,12.2092,12.3013,11.6938,11.2933,11.6548,12.1882,12.4533,12.9716,12.8821,12.5744,12.3671,12.8373,12.1111
18,0.7243,0.7243,4.8643,4.8643,4.8642,4.8736,4.8155,4.866,5.1374,4.9728,4.9139,4.6334,5.1464,4.3713,4.1703,4.2628,4.7671,4.6582,4.8604,5.0229,4.4301,3.9257,3.3683,3.3241,4.1,3.3887,3.5419,3.5231,3.2737,3.2919,3.4193,3.3611,3.2036,3.5548,3.1748,2.4397,1.2416,0.2676,0.2703,0.3602
19,3.0045,3.0045,4.8656,4.8656,4.8656,4.8806,4.8627,4.8991,4.958,4.8914,4.7437,4.7616,4.6508,4.69,4.7151,4.6563,4.6883,4.7766,4.7472,4.7651,4.7286,4.6826,4.6921,4.7001,4.7082,4.7078,4.6995,4.7077,4.7037,4.6919,4.712,4.6804,4.6687,4.6712,4.6356,4.5675,4.5123,4.5154,4.4975,4.5034
